status, oldUrl, newUrl,failure, actual
passed,the user opens /A36634 on the old website,the user verifies resulting resource /6-107-6982,null,
passed,the user opens /A36638 on the old website,the user verifies resulting resource /7-107-6986,null,
passed,the user opens /a36640 on the old website,the user verifies resulting resource /3-107-6988,null,
passed,the user opens /A36644 on the old website,the user verifies resulting resource /5-107-6992,null,
passed,the user opens /A36646 on the old website,the user verifies resulting resource /1-107-6994,null,
passed,the user opens /A36647 on the old website,the user verifies resulting resource /8-107-6995,null,
passed,the user opens /A36648 on the old website,the user verifies resulting resource /6-107-6996,null,
passed,the user opens /A36649 on the old website,the user verifies resulting resource /4-107-6997,null,
passed,the user opens /A36651 on the old website,the user verifies resulting resource /0-107-6999,null,
passed,the user opens /A36652 on the old website,the user verifies resulting resource /6-107-7000,null,
passed,the user opens /A36653 on the old website,the user verifies resulting resource /4-107-7001,null,
passed,the user opens /A36658 on the old website,the user verifies resulting resource /3-107-7006,null,
passed,the user opens /A36661 on the old website,the user verifies resulting resource /7-107-7009,null,
passed,the user opens /A36662 on the old website,the user verifies resulting resource /5-107-7010,null,
passed,the user opens /A36674 on the old website,the user verifies resulting resource /0-107-7022,null,
passed,the user opens /A36677 on the old website,the user verifies resulting resource /6-107-7024,null,
passed,the user opens /A36679 on the old website,the user verifies resulting resource /1-107-7026,null,
passed,the user opens /A36680 on the old website,the user verifies resulting resource /9-107-7027,null,
passed,the user opens /A36681 on the old website,the user verifies resulting resource /7-107-7028,null,
passed,the user opens /A36682 on the old website,the user verifies resulting resource /5-107-7029,null,
passed,the user opens /a36690 on the old website,the user verifies resulting resource /8-107-7037,null,
passed,the user opens /A36692 on the old website,the user verifies resulting resource /4-107-7039,null,
passed,the user opens /A36693 on the old website,the user verifies resulting resource /2-107-7040,null,
passed,the user opens /A36696 on the old website,the user verifies resulting resource /6-107-7043,null,
passed,the user opens /A36701 on the old website,the user verifies resulting resource /5-107-7048,null,
passed,the user opens /A36702 on the old website,the user verifies resulting resource /3-107-7049,null,
passed,the user opens /A36711 on the old website,the user verifies resulting resource /4-107-7058,null,
passed,the user opens /A36715 on the old website,the user verifies resulting resource /6-107-7062,null,
passed,the user opens /A36720 on the old website,the user verifies resulting resource /5-107-7067,null,
passed,the user opens /A36725 on the old website,the user verifies resulting resource /5-107-7072,null,
passed,the user opens /A36730 on the old website,the user verifies resulting resource /4-107-7077,null,
passed,the user opens /A36731 on the old website,the user verifies resulting resource /2-107-7078,null,
passed,the user opens /A36735 on the old website,the user verifies resulting resource /4-107-7082,null,
passed,the user opens /A36737 on the old website,the user verifies resulting resource /0-107-7084,null,
passed,the user opens /A36738 on the old website,the user verifies resulting resource /7-107-7085,null,
passed,the user opens /A36739 on the old website,the user verifies resulting resource /5-107-7086,null,
passed,the user opens /A36750 on the old website,the user verifies resulting resource /5-107-7091,null,
passed,the user opens /A36751 on the old website,the user verifies resulting resource /3-107-7092,null,
passed,the user opens /A36752 on the old website,the user verifies resulting resource /1-107-7093,null,
passed,the user opens /A36753 on the old website,the user verifies resulting resource /9-107-7094,null,
passed,the user opens /A36754 on the old website,the user verifies resulting resource /6-107-7095,null,
passed,the user opens /A36755 on the old website,the user verifies resulting resource /4-107-7096,null,
passed,the user opens /A36761 on the old website,the user verifies resulting resource /0-107-7102,null,
passed,the user opens /A36762 on the old website,the user verifies resulting resource /8-107-7103,null,
passed,the user opens /A36769 on the old website,the user verifies resulting resource /3-107-7110,null,
passed,the user opens /A36770 on the old website,the user verifies resulting resource /1-107-7111,null,
passed,the user opens /A36771 on the old website,the user verifies resulting resource /9-107-7112,null,
passed,the user opens /A36774 on the old website,the user verifies resulting resource /2-107-7115,null,
passed,the user opens /A36775 on the old website,the user verifies resulting resource /0-107-7116,null,
passed,the user opens /A36776 on the old website,the user verifies resulting resource /8-107-7117,null,
passed,the user opens /A36777 on the old website,the user verifies resulting resource /6-107-7118,null,
passed,the user opens /A36780 on the old website,the user verifies resulting resource /0-107-7121,null,
passed,the user opens /A36781 on the old website,the user verifies resulting resource /8-107-7122,null,
passed,the user opens /A36783 on the old website,the user verifies resulting resource /4-107-7124,null,
passed,the user opens /A36784 on the old website,the user verifies resulting resource /1-107-7125,null,
passed,the user opens /A36787 on the old website,the user verifies resulting resource /5-107-7128,null,
passed,the user opens /A36788 on the old website,the user verifies resulting resource /3-107-7129,null,
passed,the user opens /A36789 on the old website,the user verifies resulting resource /1-107-7130,null,
passed,the user opens /A36791 on the old website,the user verifies resulting resource /7-107-7132,null,
passed,the user opens /A36792 on the old website,the user verifies resulting resource /5-107-7133,null,
passed,the user opens /A36794 on the old website,the user verifies resulting resource /0-107-7135,null,
passed,the user opens /A36797 on the old website,the user verifies resulting resource /4-107-7138,null,
passed,the user opens /A36798 on the old website,the user verifies resulting resource /2-107-7139,null,
passed,the user opens /A36802 on the old website,the user verifies resulting resource /6-107-7142,null,
passed,the user opens /A36803 on the old website,the user verifies resulting resource /4-107-7143,null,
passed,the user opens /A36805 on the old website,the user verifies resulting resource /9-107-7145,null,
passed,the user opens /A36808 on the old website,the user verifies resulting resource /3-107-7148,null,
passed,the user opens /A36811 on the old website,the user verifies resulting resource /7-107-7151,null,
passed,the user opens /A36812 on the old website,the user verifies resulting resource /5-107-7152,null,
passed,the user opens /A36820 on the old website,the user verifies resulting resource /8-107-7160,null,
passed,the user opens /A36825 on the old website,the user verifies resulting resource /7-107-7165,null,
passed,the user opens /A36827 on the old website,the user verifies resulting resource /3-107-7167,null,
passed,the user opens /a36831 on the old website,the user verifies resulting resource /5-107-7171,null,
passed,the user opens /A36833 on the old website,the user verifies resulting resource /1-107-7173,null,
passed,the user opens /A36839 on the old website,the user verifies resulting resource /0-107-7178,null,
passed,the user opens /A36841 on the old website,the user verifies resulting resource /6-107-7180,null,
passed,the user opens /A36843 on the old website,the user verifies resulting resource /2-107-7182,null,
passed,the user opens /A36844 on the old website,the user verifies resulting resource /0-107-7183,null,
passed,the user opens /A36845 on the old website,the user verifies resulting resource /8-107-7184,null,
passed,the user opens /A36846 on the old website,the user verifies resulting resource /5-107-7185,null,
passed,the user opens /A36847 on the old website,the user verifies resulting resource /3-107-7186,null,
passed,the user opens /A36855 on the old website,the user verifies resulting resource /9-107-7188,null,
